diplomat_id,person_id,dob,family_name,family_name_en,name,name_en,patronymic,patronymic_en,position,position_en,rank,rank_item,department,department_en,country_item
218,843705,1963-09-15,Буачидзе,Buachidze,Гоча,Gocha,Леванович,Levanovich,руководитель миссии российской федерации,Head of the Mission of the Russian Federation,чрезвычайный и полномочный посланник 1 класса,Q139927408,представительство российской федерации при палестинской национальной администрации в рамалле,Representative Office of the Russian Federation to the Palestinian National Authority in Ramallah,
219,1722302,1975-08-02,Булатов,Bulatov,Артем,Artem,Юрьевич,Yuryevich,посол по особым поручениям,Ambassador-at-Large,чрезвычайный и полномочный посланник 1 класса,Q139927408,группа послов по особым поручениям мид российской федерации,Group of Ambassadors-at-Large of the Ministry of Foreign Affairs of the Russian Federation,
220,1721800,1976-09-26,Бурляй,Seethe,Максим,Maxim,Янович,Yanovich,заместитель директора департамента,Deputy Director of the Department,чрезвычайный и полномочный посланник 1 класса,Q139927408,департамент информации и печати,Department of Information and Press,
222,1722303,1976-01-04,Великанов,Giants,Вадим,Vadim,Валерьевич,Valerievich,заместитель директора департамента,Deputy Director of the Department,чрезвычайный и полномочный посланник 1 класса,Q139927408,третий департамент азии,Third Department of Asia,
223,1721810,1974-07-31,Волгарев,Volgarev,Александр,Alexander,Александрович,Alexandrovich,заместитель постоянного представителя,Deputy Permanent Representative,чрезвычайный и полномочный посланник 1 класса,Q139927408,"постоянное представительство российской федерации при организации по безопасности и сотрудничеству в европе (обсе) в вене, австрийская республика","Permanent Mission of the Russian Federation to the Organization for Security and Cooperation in Europe (OSCE) in Vienna, Republic of Austria",Q40
225,837627,1974-03-07,Гаппоев,Gappoev,Александр,Alexander,Сергеевич,Sergeevich,директор департамента,director of the department,чрезвычайный и полномочный посланник 1 класса,Q139927408,департамент безопасности,Security Department,
226,837496,1975-07-10,Германчук,Germanchuk,Максим,Maxim,Николаевич,Nikolaevich,заместитель директора департамента,Deputy Director of the Department,чрезвычайный и полномочный посланник 1 класса,Q139927408,первый департамент стран снг,First Department of the CIS countries,
227,1722304,1962-06-14,Гусев,Gusev,Вадим,Vadim,Альбертович,Albertovich,советник-посланник,Minister-Counselor,чрезвычайный и полномочный посланник 1 класса,Q139927408,посольство российской федерации в киргизской республике,Embassy of the Russian Federation in the Kyrgyz Republic,Q813
231,844914,1962-12-16,Дейнеко,Deineko,Александр,Alexander,Михайлович,Mikhailovich,заместитель директора департамента,Deputy Director of the Department,чрезвычайный и полномочный посланник 1 класса,Q139927408,департамент по вопросам нераспространения и контроля над вооружениями,Department for Non-Proliferation and Arms Control,
233,1722306,1964-04-03,Доманов,Domanov,Александр,Alexander,,,директор департамента,director of the department,чрезвычайный и полномочный посланник 1 класса,Q139927408,департамент капитального строительства и собственности за рубежом,Department of Capital Construction and Property Abroad,
234,843359,1972-03-15,Дронов,Dronov,Алексей,Alexey,Александрович,Alexandrovich,генеральный консул российской федерации,Consul General of the Russian Federation,чрезвычайный и полномочный посланник 1 класса,Q139927408,"генеральное консульство российской федерации в бонне, федеративная республика германия","Consulate General of the Russian Federation in Bonn, Federal Republic of Germany",Q183
235,845846,1959-08-13,Егоров,Egorov,Евгений,Evgeny,Николаевич,Nikolaevich,заместитель директора департамента,Deputy Director of the Department,чрезвычайный и полномочный посланник 1 класса,Q139927408,департамент кадров,HR department,
236,839653,1979-02-03,Ежов,Yezhov,Сергей,Sergey,Павлович,Pavlovich,посол по особым поручениям,Ambassador-at-Large,чрезвычайный и полномочный посланник 1 класса,Q139927408,группа послов по особым поручениям мид российской федерации,Group of Ambassadors-at-Large of the Ministry of Foreign Affairs of the Russian Federation,
238,1721827,1972-06-09,Желоховцев,Zhelokhovtsev,Иван,Ivan,Алексеевич,Alekseevich,директор департамента,director of the department,чрезвычайный и полномочный посланник 1 класса,Q139927408,первый департамент азии,First Department of Asia,
243,840921,1957-01-13,Запевалов,Zapevalov,Владимир,Vladimir,Васильевич,Vasilievich,посол по особым поручениям,Ambassador-at-Large,чрезвычайный и полномочный посланник 1 класса,Q139927408,группа послов по особым поручениям мид российской федерации,Group of Ambassadors-at-Large of the Ministry of Foreign Affairs of the Russian Federation,
248,1722308,1975-10-10,Калугина,Kalugina,Мария,Maria,Юрьевна,Yuryevna,заместитель директора департамента,Deputy Director of the Department,чрезвычайный и полномочный посланник 1 класса,Q139927408,департамент информации и печати,Department of Information and Press,
249,844011,1962-02-23,Капырин,Kapyrin,Игорь,Igor,Николаевич,Nikolaevich,директор департамента,director of the department,чрезвычайный и полномочный посланник 1 класса,Q139927408,"департамент по связям с субъектами федерации, парламентом и общественными объединениями","Department for Relations with Federal Subjects, Parliament, and Public Associations",
250,836020,1964-06-10,Кислов,Kislov,Александр,Alexander,Александрович,Alexandrovich,заместитель директора департамента,Deputy Director of the Department,чрезвычайный и полномочный посланник 1 класса,Q139927408,генеральный секретариат (департамент),General Secretariat (Department),
251,835049,1964-05-12,Князев,Knyazev,Павел,Paul,Русланович,Ruslanovich,посол по особым поручениям,Ambassador-at-Large,чрезвычайный и полномочный посланник 1 класса,Q139927408,группа послов по особым поручениям мид российской федерации,Group of Ambassadors-at-Large of the Ministry of Foreign Affairs of the Russian Federation,
253,1721841,1961-04-02,Кононученко,Kononuchenko,Сергей,Sergey,Борисович,Borisovich,посол по особым поручениям,Ambassador-at-Large,чрезвычайный и полномочный посланник 1 класса,Q139927408,группа послов по особым поручениям мид российской федерации,Group of Ambassadors-at-Large of the Ministry of Foreign Affairs of the Russian Federation,
255,1721845,1969-11-06,Корляков,Korlyakov,Алексей,Alexey,Владимирович,Vladimirovich,советник-посланник,Minister-Counselor,чрезвычайный и полномочный посланник 1 класса,Q139927408,посольство российской федерации в федеративной республике германия,Embassy of the Russian Federation in the Federal Republic of Germany,Q183
257,1721853,1963-10-22,Красницкий,Krasnitsky,Олег,Oleg,Юзефович,Yuzefovich,генеральный консул российской федерации,Consul General of the Russian Federation,чрезвычайный и полномочный посланник 1 класса,Q139927408,"генеральное консульство российской федерации в мюнхене,федеративная республика германия","Consulate General of the Russian Federation in Munich, Federal Republic of Germany",Q183
259,1722310,1968-11-28,Кузьмин,Kuzmin,Геннадий,Gennady,Владимирович,Vladimirovich,посол по особым поручениям,Ambassador-at-Large,чрезвычайный и полномочный посланник 1 класса,Q139927408,группа послов по особым поручениям мид российской федерации,Group of Ambassadors-at-Large of the Ministry of Foreign Affairs of the Russian Federation,
262,1722051,1968-12-06,Лисенков,Lisenkov,Алексей,Alexey,Дмитриевич,Dmitrievich,директор департамента,director of the department,чрезвычайный и полномочный посланник 1 класса,Q139927408,департамент специальной связи,Department of Special Communications,
263,1721866,1975-04-01,Логвинов,Logvinov,Кирилл,Kirill,Михайлович,Mikhailovich,заместитель постоянного представителя,Deputy Permanent Representative,чрезвычайный и полномочный посланник 1 класса,Q139927408,"постоянное представительство российской федерации при европейском союзе и европейском сообществе по атомной энергии в брюсселе, бельгия","Permanent Mission of the Russian Federation to the European Union and the European Atomic Energy Community in Brussels, Belgium",Q458
263,1721866,1975-04-01,Логвинов,Logvinov,Кирилл,Kirill,Михайлович,Mikhailovich,заместитель постоянного представителя,Deputy Permanent Representative,чрезвычайный и полномочный посланник 1 класса,Q139927408,"постоянное представительство российской федерации при европейском союзе и европейском сообществе по атомной энергии в брюсселе, бельгия","Permanent Mission of the Russian Federation to the European Union and the European Atomic Energy Community in Brussels, Belgium",Q31
264,1721868,1967-04-08,Лукьянцев,Lukyantsev,Дмитрий,Dmitry,Евгеньевич,Evgenievich,генеральный консул российской федерации,Consul General of the Russian Federation,чрезвычайный и полномочный посланник 1 класса,Q139927408,"генеральное консульство российской федерации в шанхае, китайская народная республика","Consulate General of the Russian Federation in Shanghai, People's Republic of China",Q865
265,1722311,1965-06-18,Лысиков,Lysikov,Андрей,Andrey,Викторович,Viktorovich,директор департамента,director of the department,чрезвычайный и полномочный посланник 1 класса,Q139927408,валютно-финансовый департамент,currency and financial department,
266,1722312,1961-09-02,Лыженков,Lyzhenkov,Алексей,Alexey,Львович,Lvovich,заместитель директора департамента,Deputy Director of the Department,чрезвычайный и полномочный посланник 1 класса,Q139927408,департамент по вопросам новых вызовов и угроз,Department of New Challenges and Threats,
267,1721872,1977-07-10,Люкманов,Lyukmanov,Артур,Arthur,Рушанович,Rushanovich,директор департамента,director of the department,чрезвычайный и полномочный посланник 1 класса,Q139927408,департамент международной информационной безопасности,Department of International Information Security,
268,1722313,1964-10-01,Мазур,Mazur,Антон,Anton,Юрьевич,Yuryevich,заместитель директора департамента,Deputy Director of the Department,чрезвычайный и полномочный посланник 1 класса,Q139927408,департамент по вопросам нераспространения и контроля над вооружениями,Department for Non-Proliferation and Arms Control,
271,1722314,1968-03-04,Миляев,Milyaev,Андрей,Andrey,Александрович,Alexandrovich,заместитель директора департамента,Deputy Director of the Department,чрезвычайный и полномочный посланник 1 класса,Q139927408,департамент государственного протокола,Department of State Protocol,
274,1722316,1985-06-30,Михайлова,Mikhailova,Наталья,Natalia,Сергеевна,Sergeevna,руководитель представительства,head of the representative office,чрезвычайный и полномочный посланник 1 класса,Q139927408,представительство мид российской федерации в г. донецке,Representative Office of the Ministry of Foreign Affairs of the Russian Federation in Donetsk,
278,1721891,1975-11-14,Мусихин,Musikhin,Максим,Maxim,Вячеславович,Vyacheslavovich,директор департамента,director of the department,чрезвычайный и полномочный посланник 1 класса,Q139927408,правовой департамент,legal department,
281,1721895,1959-05-18,Оверченко,Overchenko,Сергей,Sergey,Александрович,Alexandrovich,заместитель директора департамента,Deputy Director of the Department,чрезвычайный и полномочный посланник 1 класса,Q139927408,третий департамент стран снг,Third Department of the CIS countries,
282,1722318,1967-05-18,Ожегова,Ozhegova,Светлана,Svetlana,Всеволодовна,Vsevolodovna,заместитель директора департамента,Deputy Director of the Department,чрезвычайный и полномочный посланник 1 класса,Q139927408,второй европейский департамент,Second European Department,
284,1721899,1966-12-19,Пальтов,Coats,Сергей,Sergey,Юрьевич,Yuryevich,заместитель директора департамента,Deputy Director of the Department,чрезвычайный и полномочный посланник 1 класса,Q139927408,четвертый департамент стран снг,Fourth Department of the CIS countries,
285,841494,1958-05-21,Петрачков,Petrachkov,Александр,Alexander,Федорович,Fedorovich,помощник министра,assistant to the minister,чрезвычайный и полномочный посланник 1 класса,Q139927408,генеральный секретариат (департамент),General Secretariat (Department),
287,1722066,1961-02-24,Петров,Petrov,Андрей,Andrey,Юрьевич,Yuryevich,генеральный консул российской федерации,Consul General of the Russian Federation,чрезвычайный и полномочный посланник 1 класса,Q139927408,"генеральное консульство российской федерации в рио-де-жанейро, федеративная республика бразилия","Consulate General of the Russian Federation in Rio de Janeiro, Federative Republic of Brazil",Q155
290,1722321,1974-08-18,Постников,Postnikov,Олег,Oleg,Владимирович,Vladimirovich,директор департамента,director of the department,чрезвычайный и полномочный посланник 1 класса,Q139927408,департамент по вопросам нераспространения и контроля над вооружениями,Department for Non-Proliferation and Arms Control,
291,1721907,1962-05-30,Прожогин,Prozhogin,Сергей,Sergey,Николаевич,Nikolaevich,заместитель директора департамента,Deputy Director of the Department,чрезвычайный и полномочный посланник 1 класса,Q139927408,департамент северной атлантики,Department of the North Atlantic,
292,1722322,1970-05-11,Проскуряков,Proskuryakov,Владимир,Vladimir,Анатольевич,Anatolyevich,советник-посланник,Minister-Counselor,чрезвычайный и полномочный посланник 1 класса,Q139927408,посольство российской федерации в канаде,Embassy of the Russian Federation in Canada,Q16
293,1722323,1977-02-08,Прусов,Prusov,Александр,Alexander,Владимирович,Vladimirovich,заместитель директора департамента,Deputy Director of the Department,чрезвычайный и полномочный посланник 1 класса,Q139927408,департамент государственного протокола,Department of State Protocol,
294,1721909,1963-01-22,Пугаев,Pugaev,Андрей,Andrey,Евгеньевич,Evgenievich,заместитель директора департамента,Deputy Director of the Department,чрезвычайный и полномочный посланник 1 класса,Q139927408,департамент кадров,HR department,
296,1722324,1959-09-14,Салов,Salov,Владимир,Vladimir,Павлович,Pavlovich,заместитель директора департамента,Deputy Director of the Department,чрезвычайный и полномочный посланник 1 класса,Q139927408,департамент по вопросам новых вызовов и угроз,Department of New Challenges and Threats,
298,1722325,1974-02-05,Самарин,Samarin,Александр,Alexander,Викторович,Viktorovich,заместитель директора департамента,Deputy Director of the Department,чрезвычайный и полномочный посланник 1 класса,Q139927408,первый европейский департамент,First European Department,
299,842125,1962-02-02,Седых,Sedykh,Владимир,Vladimir,Васильевич,Vasilievich,заместитель директора департамента,Deputy Director of the Department,чрезвычайный и полномочный посланник 1 класса,Q139927408,третий европейский департамент,Third European Department,
303,1721932,1970-08-08,Сумкин,Sumkin,Григорий,Gregory,Владимирович,Vladimirovich,заместитель директора департамента,Deputy Director of the Department,чрезвычайный и полномочный посланник 1 класса,Q139927408,департамент общеевропейского сотрудничества,Department of Pan-European Cooperation,
304,838585,1961-07-19,Тарасенко,Tarasenko,Сергей,Sergey,Михайлович,Mikhailovich,заместитель директора департамента,Deputy Director of the Department,чрезвычайный и полномочный посланник 1 класса,Q139927408,департамент по вопросам новых вызовов и угроз,Department of New Challenges and Threats,
306,844340,1960-03-27,Токмаков,Tokmakov,Владимир,Vladimir,Георгиевич,Georgievich,генеральный консул российской федерации,Consul General of the Russian Federation,чрезвычайный и полномочный посланник 1 класса,Q139927408,"генеральное консульство российской федерации в сан-паулу, федеративная республика бразилия","Consulate General of the Russian Federation in Sao Paulo, Federative Republic of Brazil",Q155
309,1722328,1963-02-23,Тряпицын,Tryapitsyn,Виталий,Vitaly,Евгеньевич,Evgenievich,посол по особым поручениям,Ambassador-at-Large,чрезвычайный и полномочный посланник 1 класса,Q139927408,группа послов по особым поручениям мид российской федерации,Group of Ambassadors-at-Large of the Ministry of Foreign Affairs of the Russian Federation,
310,1722074,1968-01-16,Фомин,Fomin,Олег,Oleg,Олегович,Olegovich,генеральный консул российской федерации,Consul General of the Russian Federation,чрезвычайный и полномочный посланник 1 класса,Q139927408,"генеральное консульство российской федерации в дубае, объединенные арабские эмираты","Consulate General of the Russian Federation in Dubai, United Arab Emirates",Q878
311,1722329,1962-05-19,Фролов,Frolov,Андрей,Andrey,Евгеньевич,Evgenievich,заместитель директора департамента,Deputy Director of the Department,чрезвычайный и полномочный посланник 2 класса,Q139927432,консульский департамент,consular department,
312,1722330,1969-11-25,Фролов,Frolov,Петр,Peter,Валерьевич,Valerievich,советник-посланник,Minister-Counselor,чрезвычайный и полномочный посланник 1 класса,Q139927408,посольство российской федерации в республике белоруссия,Embassy of the Russian Federation in the Republic of Belarus,Q184
314,841665,1960-02-26,Хотулев,Khotulev,Иван,Ivan,Брониславович,Bronislavovich,генеральный консул российской федерации,Consul General of the Russian Federation,чрезвычайный и полномочный посланник 1 класса,Q139927408,"генеральное консульство российской федерации в зальцбурге, австрия","Consulate General of the Russian Federation in Salzburg, Austria",Q40
315,1721956,1960-12-17,Шаманов,Shamans,Олег,Oleg,Анатольевич,Anatolyevich,советник-посланник,Minister-Counselor,чрезвычайный и полномочный посланник 1 класса,Q139927408,посольство российской федерации в королевстве таиланд,Embassy of the Russian Federation in the Kingdom of Thailand,Q869
316,1722078,1966-01-16,Шарашкин,Sharashkin,Андрей,Andrey,Евгеньевич,Evgenievich,генеральный консул российской федерации,Consul General of the Russian Federation,чрезвычайный и полномочный посланник 1 класса,Q139927408,"генеральное консульство российской федерации в гамбурге, федеративная республика германия","Consulate General of the Russian Federation in Hamburg, Federal Republic of Germany",Q183
317,1722331,1955-11-10,Шостак,Shostak,Анатолий,Anatoly,Викторович,Viktorovich,посол по особым поручениям,Ambassador-at-Large,чрезвычайный и полномочный посланник 1 класса,Q139927408,группа послов по особым поручениям мид российской федерации,Group of Ambassadors-at-Large of the Ministry of Foreign Affairs of the Russian Federation,
318,1721961,1963-01-29,Штодин,Shtodin,Дмитрий,Dmitry,Ильич,Ilyich,генеральный консул российской федерации,Consul General of the Russian Federation,чрезвычайный и полномочный посланник 1 класса,Q139927408,"генеральное консульство российской федерации в милане, итальянская республика","Consulate General of the Russian Federation in Milan, Italian Republic",Q38
321,845787,1958-08-06,Юшманов,Yushmanov,Андрей,Andrey,Константинович,Konstantinovich,ведущий эксперт,leading expert,чрезвычайный и полномочный посланник 1 класса,Q139927408,департамент безопасности,Security Department,
322,1721784,1974-06-29,Абакаров,Abakarov,Юсуп,Yusup,Мурадбекович,Muradbekovich,генеральный консул,Consul General,чрезвычайный и полномочный посланник 2 класса,Q139927432,"генеральное консульство российской федерации в джидде, королевство саудовская аравия","Consulate General of the Russian Federation in Jeddah, Kingdom of Saudi Arabia",Q851
323,834690,1970-02-15,Аблаев,Ablaev,Азамат,Azamat,Ирекович,Irekovich,заместитель директора департамента,Deputy Director of the Department,чрезвычайный и полномочный посланник 2 класса,Q139927432,департамент кадров,HR department,
324,1722023,1974-07-17,Авдеев,Avdeev,Андрей,Andrey,Станиславович,Stanislavovich,заместитель директора департамента,Deputy Director of the Department,чрезвычайный и полномочный посланник 2 класса,Q139927432,"департамент по связям с субъектами федерации,парламентом и общественными объединениями","Department for Relations with Federal Subjects, Parliament, and Public Associations",
325,845267,1959-06-12,Авдеев,Avdeev,Олег,Oleg,Николаевич,Nikolaevich,генеральный консул российской федерации,Consul General of the Russian Federation,чрезвычайный и полномочный посланник 2 класса,Q139927432,"генеральное консульство российской федерации в ченнаи, республика индия","Consulate General of the Russian Federation in Chennai, Republic of India",Q668
326,835092,1960-07-23,Алифанов,Alifanov,Сергей,Sergey,Дмитриевич,Dmitrievich,заместитель директора департамента,Deputy Director of the Department,чрезвычайный и полномочный посланник 2 класса,Q139927432,департамент дипломатическо-курьерской связи,Department of Diplomatic and Courier Communications,
327,837467,1960-11-24,Андреев,Andreev,Владимир,Vladimir,Вадимович,Vadimovich,заместитель директора департамента,Deputy Director of the Department,чрезвычайный и полномочный посланник 2 класса,Q139927432,департамент по работе с соотечественниками за рубежом,Department for Work with Compatriots Abroad,
328,1721786,1974-06-29,Андриашин,Andriashin,Сергей,Sergey,,,советник-посланник,Minister-Counselor,чрезвычайный и полномочный посланник 2 класса,Q139927432,посольство российской федерации в исландии,Embassy of the Russian Federation in Iceland,Q189
329,1722027,1962-10-02,Анисимов,Anisimov,Леонид,Leonid,Владимирович,Vladimirovich,советник-посланник,Minister-Counselor,чрезвычайный и полномочный посланник 2 класса,Q139927432,посольство российской федерации в финляндской республике,Embassy of the Russian Federation in the Republic of Finland,Q33
330,841014,,Антонюк,Antonyuk,Владислав,Vladislav,Викторович,Viktorovich,заместитель директора департамента,Deputy Director of the Department,чрезвычайный и полномочный посланник 2 класса,Q139927432,департамент по вопросам нераспространения и контроля над вооружениями,Department for Non-Proliferation and Arms Control,
331,836625,1959-01-06,Аржаев,Arzhaev,Игорь,Igor,Николаевич,Nikolaevich,генеральный консул российской федерации,Consul General of the Russian Federation,чрезвычайный и полномочный посланник 2 класса,Q139927432,"генеральное консульство российской федерации в сиднее, австралия","Consulate General of the Russian Federation in Sydney, Australia",Q408
332,1722028,1979-09-11,Аристов,Aristov,Андрей,Andrey,Андреевич,Andreevich,советник-посланник,Minister-Counselor,чрезвычайный и полномочный посланник 2 класса,Q139927432,посольство российской федерации в республике ирак,Embassy of the Russian Federation in the Republic of Iraq,Q796
333,1722029,1966-03-02,Артамонов,Artamonov,Александр,Alexander,Ростиславович,Rostislavovich,главный советник департамента,chief adviser of the department,чрезвычайный и полномочный посланник 2 класса,Q139927432,департамент азиатского и тихоокеанского сотрудничества,Department of Asian and Pacific Cooperation,
334,1722332,1980-09-23,Бабушкин,Grandma's,Роман,Novel,Николаевич,Nikolaevich,советник-посланник,Minister-Counselor,чрезвычайный и полномочный посланник 2 класса,Q139927432,посольство российской федерации в республике индии,Embassy of the Russian Federation in the Republic of India,Q668
335,1721787,1978-11-15,Бакеева,Bakeeva,Екатерина,Catherine,Николаевна,Nikolaevna,заместитель директора департамента,Deputy Director of the Department,чрезвычайный и полномочный посланник 2 класса,Q139927432,третий департамент азии,Third Department of Asia,
336,1721788,1970-07-09,Барабанов,Drums,Вадим,Vadim,Леонидович,Leonidovich,советник-посланник,Minister-Counselor,чрезвычайный и полномочный посланник 2 класса,Q139927432,посольство российской федерации в тунисской республике,Embassy of the Russian Federation in the Tunisian Republic,Q948
339,1721789,1974-12-27,Барилович,Barilovich,Михаил,Michael,Анатольевич,Anatolyevich,заместитель директора департамента,Deputy Director of the Department,чрезвычайный и полномочный посланник 2 класса,Q139927432,департамент лингвистического обеспечения,Department of Linguistic Support,
340,1721790,1981-03-24,Батадеев,Batadeev,Александр,Alexander,Викторович,Viktorovich,советник-посланник,Minister-Counselor,чрезвычайный и полномочный посланник 2 класса,Q139927432,посольство российской федерации в мексиканских соединенных штатах,Embassy of the Russian Federation in the United Mexican States,Q96
341,838592,1963-06-15,Батманов,Batmanov,Андрей,Andrey,Кимович,Kimovich,главный советник департамента,chief adviser of the department,чрезвычайный и полномочный посланник 2 класса,Q139927432,департамент ситуационно-кризисный центр,Department of Crisis Management Center,
342,1722334,1959-08-12,Белецкий,Beletsky,Владимир,Vladimir,Викторович,Viktorovich,заместитель директора департамента,Deputy Director of the Department,чрезвычайный и полномочный посланник 2 класса,Q139927432,"департамент по связям с субъектами федерации,парламентом и общественными объединениями","Department for Relations with Federal Subjects, Parliament, and Public Associations",
343,1722335,1965-08-17,Белов,Belov,Дмитрий,Dmitry,Вадимович,Vadimovich,заместитель директора департамента,Deputy Director of the Department,чрезвычайный и полномочный посланник 2 класса,Q139927432,латиноамериканский департамент,Latin American Department,
344,1722336,1962-10-23,Белоносов,Belonosov,Алексей,Alexey,Юрьевич,Yuryevich,главный советник департамента,chief adviser of the department,чрезвычайный и полномочный посланник 2 класса,Q139927432,"департамент по связям с субъектами федерации,парламентом и общественными объединениями","Department for Relations with Federal Subjects, Parliament, and Public Associations",
345,1722337,1966-03-21,Белоусов,Belousov,Андрей,Andrey,Иванович,Ivanovich,заместитель постоянного представителя,Deputy Permanent Representative,чрезвычайный и полномочный посланник 2 класса,Q139927432,"постоянное представительство российской федерации при отделении оон и других международных организациях в женеве, швейцарская конфедерация","Permanent Mission of the Russian Federation to the UN Office and other international organizations in Geneva, Swiss Confederation",Q39
346,1722338,1975-03-17,Берсенев,Bersenev,Константин,Konstantin,Алексеевич,Alekseevich,заместитель директора департамента,Deputy Director of the Department,чрезвычайный и полномочный посланник 2 класса,Q139927432,четвертый европейский департамент,Fourth European Department,
347,1722339,1973-07-11,Бессонов,Bessonov,Евгений,Evgeny,Геннадьевич,Gennadievich,заместитель директора департамента,Deputy Director of the Department,чрезвычайный и полномочный посланник 2 класса,Q139927432,департамент международных организаций,Department of International Organizations,
348,1721793,1961-03-19,Бибишев,Bibishev,Андрей,Andrey,Александрович,Alexandrovich,генеральный консул российской федерации,Consul General of the Russian Federation,чрезвычайный и полномочный посланник 2 класса,Q139927432,"генеральное консульство российской федерации в оше, киргизская республика","Consulate General of the Russian Federation in Osh, Kyrgyz Republic",Q813
349,1721794,1968-05-28,Билялитдинов,Bilyalitdinov,Амир,Amir,Анверович,Anverovich,заместитель директора департамента,Deputy Director of the Department,чрезвычайный и полномочный посланник 2 класса,Q139927432,четвертый департамент стран снг,Fourth Department of the CIS countries,
350,1721795,1969-12-03,Биричевская,Birichevskaya,Ольга,Olga,Юрьевна,Yuryevna,заместитель директора департамента,Deputy Director of the Department,чрезвычайный и полномочный посланник 2 класса,Q139927432,третий департамент стран снг,Third Department of the CIS countries,
351,1722340,1960-04-29,Боголюбов,Bogolyubov,Сергей,Sergey,,,заместитель директора департамента,Deputy Director of the Department,чрезвычайный и полномочный посланник 2 класса,Q139927432,генеральный секретариат (департамент),General Secretariat (Department),
352,1722341,1975-02-21,Богомолова,Bogomolov,Анна,Anna,Павловна,Pavlovna,заместитель директора департамента,Deputy Director of the Department,чрезвычайный и полномочный посланник 2 класса,Q139927432,генеральный секретариат (департамент),General Secretariat (Department),
353,839245,,Болтаев,Boltaev,Джамшед,Jamshed,Мухамедович,Mukhamedovich,генеральный консул российской федерации,Consul General of the Russian Federation,чрезвычайный и полномочный посланник 2 класса,Q139927432,"генеральное консульство российской федерации в басре, республика ирак","Consulate General of the Russian Federation in Basra, Republic of Iraq",Q796
354,845408,1966-01-30,Бондаренко,Bondarenko,Валерий,Valery,Алексеевич,Alekseevich,начальник отдела в департаменте,head of department in the department,чрезвычайный и полномочный посланник 2 класса,Q139927432,третий департамент стран снг,Third Department of the CIS countries,
355,1722342,1967-09-01,Бородин,Borodin,Дмитрий,Dmitry,Андреевич,Andreevich,заместитель директора департамента,Deputy Director of the Department,чрезвычайный и полномочный посланник 2 класса,Q139927432,департамент ситуационно-кризисный центр,Department of Crisis Management Center,
356,1721797,1958-07-26,Боряк,Boryak,Василий,Vasily,Владимирович,Vladimirovich,ведущий эксперт,leading expert,чрезвычайный и полномочный посланник 2 класса,Q139927432,департамент северной америки,Department of North America,
