diplomat_id,person_id,person_item,dob,family_name,family_name_en,name,name_en,patronymic,patronymic_en,position,rank,rank_item,department,country_item
20,841356,Q70254625,1954-07-12,Беджанян,Bejanyan,Юрий,Yuri,Вартанович,Vartanovich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в республике коста-рика,Q800
21,1721791,Q109490441,1963-03-24,Бездетко,Bezdetko,Геннадий,Gennady,Степанович,Stepanovich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в социалистической республике вьетнам,Q881
22,1722290,Q124770029,1965-01-25,Беляев,Belyaev,Сергей,Sergey,Сергеевич,Sergeevich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в королевстве швеция,Q34
24,1721796,Q136815712,1973-01-03,Биричевский,Birichevsky,Дмитрий,Dmitry,Анатольевич,Anatolyevich,директор департамента,чрезвычайный и полномочный посол,Q137783787,департамент экономического сотрудничества,
25,11518,Q4089252,1952-03-02,Богданов,Bogdanov,Михаил,Michael,Леонидович,Leonidovich,,чрезвычайный и полномочный посол,Q137783787,,
26,842058,Q124770171,1977-09-19,Богдашев,Bogdashev,Игорь,Igor,Викторович,Viktorovich,директор департамента,чрезвычайный и полномочный посол,Q137783787,департамент государственного протокола,
27,834814,Q60835664,1954-04-27,Бойков,Boykov,Евгений,Evgeny,Мирославович,Miroslavovich,,чрезвычайный и полномочный посол,Q137783787,,
28,842893,Q97343745,1968-07-10,Борисенко,Borisenko,Георгий,George,Евгеньевич,Evgenievich,заместитель министра иностранных дел российской федерации,чрезвычайный и полномочный посол,Q137783787,руководство,
29,841849,Q97343747,1958-07-07,Боровик,Borovik,Анатолий,Anatoly,Васильевич,Vasilievich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в королевстве камбоджа,Q424
30,845218,Q4094465,1950-12-10,Бородавкин,Borodavkin,Алексей,Alexey,Николаевич,Nikolaevich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в республике казахстан,Q232
31,843470,Q4095272,1957-09-16,Боцан-Харченко,Botsan-Kharchenko,Александр,Alexander,Аркадьевич,Arkadyevich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в республике сербии,Q403
32,1721798,Q4096013,1956-09-30,Братчиков,Bratchikov,Игорь,Igor,Борисович,Borisovich,,чрезвычайный и полномочный посол,Q137783787,,
33,839222,Q19907863,1960-03-14,Будаев,Budaev,Андрей,Andrey,Владимирович,Vladimirovich,,чрезвычайный и полномочный посол,Q137783787,,
35,1721527,Q120281339,1964-04-04,Бутин,Butin,Сергей,Sergey,Владимирович,Vladimirovich,первый заместитель министра иностранных дел российской федерации,чрезвычайный и полномочный посол,Q137783787,руководство,
36,1721530,Q4103372,1960-08-01,Ванин,Vanin,Михаил,Michael,Валентинович,Valentinovich,посол по особым поручениям,чрезвычайный и полномочный посол,Q137783787,группа послов по особым поручениям мид российской федерации,
37,840212,Q18237276,1963-02-25,Васильев,Vasiliev,Виктор,Victor,Львович,Lvovich,посол по особым поручениям,чрезвычайный и полномочный посол,Q137783787,группа послов по особым поручениям мид российской федерации,
38,834417,Q27979827,1953-09-27,Васнецов,Vasnetsov,Олег,Oleg,Владимирович,Vladimirovich,,чрезвычайный и полномочный посол,Q137783787,,
39,168052,Q18237376,1954-07-24,Вершинин,Vershinin,Сергей,Sergey,Васильевич,Vasilievich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в турецкой республике,Q43
40,834093,Q53562881,1954-01-29,Викторов,Viktorov,Анатолий,Anatoly,Дмитриевич,Dmitrievich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в государстве израиль,Q801
41,838643,Q28497288,1954-09-08,Винокуров,Vinokurov,Владимир,Vladimir,Николаевич,Nikolaevich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в республике гватемала,Q774
42,1721808,Q16630585,1947-12-06,Владимир,Vladimir,Николай,Nikolay,Михайлович,Mikhailovich,ведущий эксперт,чрезвычайный и полномочный посол,Q137783787,генеральный секретариат (департамент),
43,1721812,Q15065088,1959-03-11,Волынкин,Volynkin,Иван,Ivan,Кириллович,Kirillovich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в туркменистане,Q874
44,1722292,Q63075648,1964-01-26,Воробьева,Vorobyova,Людмила,Lyudmila,Георгиевна,Georgievna,директор департамента,чрезвычайный и полномочный посол,Q137783787,третий департамент азии,
45,996,Q124770455,1956-06-04,Вязалов,Vyazalov,Сергей,Sergey,Юрьевич,Yuryevich,генеральный директор мид россии,чрезвычайный и полномочный посол,Q137783787,руководство,Q159
46,834729,Q4132780,1960-06-14,Галузин,Galuzin,Михаил,Michael,Юрьевич,Yuryevich,заместитель министра иностранных дел российской федерации,чрезвычайный и полномочный посол,Q137783787,руководство,
47,834286,Q136816052,1960-04-02,Ганжа,Ganja,Сергей,Sergey,Павлович,Pavlovich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в республике сингапур,Q334
48,834907,Q28497343,1953-05-01,Гармонин,Harmonin,Сергей,Sergey,Викторович,Viktorovich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в швейцарской конфедерации,Q39
49,11517,Q15065272,1950-08-25,Гатилов,Gatilov,Геннадий,Gennady,Михайлович,Mikhailovich,постоянный представитель российской федерации,чрезвычайный и полномочный посол,Q137783787,"постоянное представительство российской федерации при отделении оон и других международных организациях в женеве, швейцарская конфедерация",Q39
50,834086,Q70252256,1957-03-01,Голованов,Golovanov,Михаил,Michael,Алексеевич,Alekseevich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в республике джибути,Q977
51,1721815,Q124769907,1960-12-29,Голубовский,Golubovsky,Игорь,Igor,Леонидович,Leonidovich,постоянный представитель российской федерации,чрезвычайный и полномочный посол,Q137783787,"постоянное представительство российской федерации при продовольственной и сельскохозяйственной организации оон (фао) и др. мо со сходными функциями в риме, италия",Q38
52,839903,Q124771355,1973-11-09,Гончар,Gonchar,Денис,Denis,Владимирович,Vladimirovich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в королевстве бельгия,Q31
53,846139,Q123291095,1960-09-03,Горлач,Gorlach,Юрий,Yuri,Андреевич,Andreevich,директор департамента,чрезвычайный и полномочный посол,Q137783787,департамент ситуационно-кризисный центр,
54,1722293,Q3596041,1960-07-01,Григорьев,Grigoriev,Семен,Semyon,Вячеславович,Vyacheslavovich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в республике таджикистан,Q863
55,1722294,Q21638402,1963-08-31,Грицай,Gritsai,Сергей,Sergey,Николаевич,Nikolaevich,директор департамента,чрезвычайный и полномочный посол,Q137783787,департамент лингвистического обеспечения,
56,835957,Q62713977,1961-02-21,Грозов,Grozov,Андрей,Andrey,Юрьевич,Yuryevich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в австрийской республике,Q40
57,836601,Q4150279,1954-06-25,Громыко,Gromyko,Игорь,Igor,Анатольевич,Anatolyevich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в республике мали,Q912
58,168182,Q3658303,1955-04-25,Грушко,Grushko,Александр,Alexander,Викторович,Viktorovich,заместитель министра иностранных дел российской федерации,чрезвычайный и полномочный посол,Q137783787,руководство,
59,227,Q188296,1950-12-15,Грызлов,Gryzlov,Борис,Boris,Вячеславович,Vyacheslavovich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в республике белоруссия,Q184
60,836046,Q21638568,1961-12-15,Гуськов,Guskov,Андрей,Andrey,Анатольевич,Anatolyevich,заместитель директора департамента,чрезвычайный и полномочный посол,Q137783787,латиноамериканский департамент,
61,838562,Q18613657,1960-05-14,Дарчиев,Darchiev,Александр,Alexander,Никитич,Nikitich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в соединенных штатах америки,Q30
62,1722035,Q18238584,1960-09-26,Дедов,Dedov,Алексей,Alexey,Юрьевич,Yuryevich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в исламской республике иран,Q794
63,842473,Q65147835,1966-09-21,Десятников,Desyatnikov,Глеб,Gleb,Феликсович,Felixovich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в иорданском хашимитском королевстве,Q810
64,1722295,Q4159701,1957-09-07,Джагарян,Dzhagaryan,Леван,Levan,Семенович,Semenovich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в демократической социалистической республике шри- ланка,Q854
65,841804,Q136815744,1974-11-24,Довгаленко,Dovgalenko,Татьяна,Tatiana,Евгеньевна,Evgenievna,директор департамента,чрезвычайный и полномочный посол,Q137783787,департамент партнерства с африкой,
66,836739,Q55104830,1967-03-06,Догадкин,Dogadkin,Дмитрий,Dmitry,Николаевич,Nikolaevich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в государстве катар,Q846
67,1721825,Q131783603,1974-10-10,Дробинин,Drobinin,Алексей,Alexey,Юрьевич,Yuryevich,директор департамента (член коллегии),чрезвычайный и полномочный посол,Q137783787,департамент внешнеполитического планирования,
68,845813,Q18239098,1956-05-12,Евдокимов,Evdokimov,Игорь,Igor,Дмитриевич,Dmitrievich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в республике бенин,Q962
69,1722037,Q120279638,1959-08-03,Евдокимов,Evdokimov,Михаил,Michael,Николаевич,Nikolaevich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в азербайджанской республике,Q227
70,837490,Q116264650,1961-07-30,Евсиков,Evsikov,Алексей,Alexey,Николаевич,Nikolaevich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в монголии,Q711
71,836227,Q28497991,1963-05-29,Егоров,Egorov,Александр,Alexander,Рэмович,Removich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в республике гвинея-бисау,Q1007
72,844636,Q30880268,1960-10-28,Ерхов,Erkhov,Алексей,Alexey,Владимирович,Vladimirovich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в республике узбекистан,Q265
73,836710,Q15206633,1958-05-27,Ефимов,Efimov,Александр,Alexander,Владимирович,Vladimirovich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в сирийской арабской республике,Q858
74,842998,Q56308102,1967-03-05,Желтов,Zheltov,Владимир,Vladimir,Филиппович,Filippovich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в государстве кувейт,Q817
75,837083,Q109492160,1955-09-18,Жилко,Zhilko,Борис,Boris,Анатольевич,Anatolyevich,,чрезвычайный и полномочный посол,Q137783787,,
76,834257,Q124769641,1967-11-22,Загайнов,Zagainov,Евгений,Evgeny,Тимофеевич,Timofeevich,постоянный представитель российской федерации,чрезвычайный и полномочный посол,Q137783787,"постоянное представительство российской федерации при асеан в джакарте, индонезия",Q252
77,1722042,Q20812953,1975-12-24,Захарова,Zakharova,Мария,Maria,Владимировна,Vladimirovna,директор департамента (член коллегии),чрезвычайный и полномочный посол,Q137783787,департамент информации и печати,
78,1722043,Q15066985,1972-02-20,Зейналова,Zeynalova,Ирада,Irada,Автандиловна,Avtandilovna,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в республике маврикий,Q1027
79,1721831,Q123731017,1967-05-01,Зиновьев,Zinoviev,Георгий,George,Вениаминович,Veniaminovich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в республике корея,Q884
80,841896,Q18242464,1957-07-14,Змеевский,Zmeevsky,Александр,Alexander,Владимирович,Vladimirovich,,чрезвычайный и полномочный посол,Q137783787,,
81,1722296,Q15067127,1959-09-17,Золотов,Zolotov,Александр,Alexander,Юрьевич,Yuryevich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в тунисской республике,Q948
82,840928,Q60836056,1958-12-26,Зуев,Zuev,Георгий,George,Викторович,Viktorovich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в новой зеландии,Q664
83,1737,Q561800,1957-09-10,Зязиков,Zyazikov,Мурат,Murat,Магометович,Magometovich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в республике кипр,Q229
84,1722044,Q138609583,1961-04-04,Иванов,Ivanov,Андрей,Andrey,Павлович,Pavlovich,директор департамента,чрезвычайный и полномочный посол,Q137783787,департамент кадров,
85,60756,Q124770196,1974-02-14,Иванов,Ivanov,Евгений,Evgeny,Сергеевич,Sergeevich,статс-секретарь-заместитель министра иностранных дел россии,чрезвычайный и полномочный посол,Q137783787,руководство,Q159
86,840894,Q109486604,1960-05-01,Исаков,Isakov,Алексей,Alexey,Викторович,Viktorovich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в восточной республике уругвай,Q77
87,842871,Q106355035,1965-10-20,Искандаров,Iskandarov,Ильяс,Ilyas,Фархадович,Farhadovich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в республике конго,Q974
88,1721835,Q4206757,1954-06-22,Кабулов,Kabulov,Замир,Zamir,Набиевич,Nabievich,директор департамента (член коллегии),чрезвычайный и полномочный посол,Q137783787,второй департамент азии,
89,836855,Q109487598,1961-03-13,Калабухов,Kalabukhov,Игорь,Igor,Андреевич,Andreevich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в боснии и герцеговине,Q225
90,844311,Q4211833,1956-08-13,Камынин,Kamynin,Михаил,Michael,Леонидович,Leonidovich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в португальской республике,Q45
91,846211,Q15845826,1957-05-15,Келин,Kelin,Андрей,Andrey,Владимирович,Vladimirovich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в соединенном королевстве великобритании и северной ирландии,Q145
91,846211,Q15845826,1957-05-15,Келин,Kelin,Андрей,Andrey,Владимирович,Vladimirovich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в соединенном королевстве великобритании и северной ирландии,Q27
92,840271,Q4759182,1955-01-01,Кемарский,Kemarsky,Андрей,Andrey,Вадимович,Vadimovich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в республике ботсвана,Q963
93,1721838,Q4719314,1962-10-20,Кинщак,Kinshchak,Александр,Alexander,Александрович,Alexandrovich,директор департамента,чрезвычайный и полномочный посол,Q137783787,департамент ближнего востока и северной африки,
94,841377,Q115280763,1959-09-04,Клименко,Klimenko,Юрий,Yuri,Николаевич,Nikolaevich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в королевстве испания,Q29
95,842776,Q124770248,1959-05-06,Климов,Klimov,Алексей,Alexey,Владимирович,Vladimirovich,директор департамента,чрезвычайный и полномочный посол,Q137783787,консульский департамент,
96,834855,Q43428694,1966-06-16,Климовский,Klimovsky,Константин,Konstantin,Вячеславович,Vyacheslavovich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в республике маврикий,Q1027
97,835245,Q98609670,1974-12-07,Кожин,Kozhin,Артём,Artyom,Александрович,Alexandrovich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в республике сейшельские острова,Q1042
98,841087,Q15069041,1955-03-14,Козлов,Kozlov,Сергей,Sergey,Георгиевич,Georgievich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в королевстве саудовская аравия,Q851
99,840464,Q56307557,1962-12-14,Копыркин,Kopyrkin,Сергей,Sergey,Павлович,Pavlovich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в республике армения,Q399
100,839948,Q4233966,1958-02-09,Коронелли,Coronelli,Виктор,Victor,Викторович,Viktorovich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в республике куба,Q241
101,1721848,Q123156588,1964-09-05,Корчунов,Korchunov,Николай,Nikolay,Викторович,Viktorovich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в королевстве норвегия,Q20
102,835121,Q15070319,1954-01-16,Кошкин,Koshkin,Сергей,Sergey,Николаевич,Nikolaevich,,чрезвычайный и полномочный посол,Q137783787,,
103,845643,Q15070631,1958-01-26,Кудашев,Kudashev,Николай,Nikolay,Ришатович,Rishatovich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в республике сингапур,Q334
104,843202,Q4245044,1958-08-10,Кузнецов,Kuznetsov,Павел,Paul,Маратович,Maratovich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в финляндской республике,Q33
105,841443,Q4245337,1953-06-24,Кузьмин,Kuzmin,Валерий,Valery,Иванович,Ivanovich,,чрезвычайный и полномочный посол,Q137783787,,
106,1721858,Q2563234,1959-08-06,Кулахметов,Kulakhmetov,Марат,Marat,Минюрович,Minyurovich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в республике южная осетия,Q23427
107,843662,Q60827388,1953-11-13,Кулик,Sandpiper,Андрей,Andrey,Борисович,Borisovich,,чрезвычайный и полномочный посол,Q137783787,,
108,1721860,Q4246562,1953-08-06,Кульмухаметов,Kulmukhametov,Азамат,Azamat,Рахметович,Rakhmetovich,советник министра,чрезвычайный и полномочный посол,Q137783787,генеральный секретариат (департамент),
109,834214,Q16668903,1961-09-13,Кураков,Kurakov,Дмитрий,Dmitry,Викторович,Viktorovich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в республике сенегал,Q1041
110,843395,Q55653779,1959-05-16,Курмаз,Kurmaz,Александр,Alexander,Сергеевич,Sergeevich,,чрезвычайный и полномочный посол,Q137783787,,
111,836909,Q18244769,1957-11-12,Лабецкий,Labetsky,Алексей,Alexey,Казимирович,Kazimirovich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в федеративной республике бразилии,Q155
112,666,Q58217,1950-03-21,Лавров,Lavrov,Сергей,Sergey,Викторович,Viktorovich,министр иностранных дел российской федерации,чрезвычайный и полномочный посол,Q137783787,руководство,
113,844887,Q97661636,1956-10-05,Латыпов,Latypov,Наиль,Nail,Мазгутович,Mazgutovich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в малайзии,Q833
114,1722297,Q109487647,1962-12-13,Леденев,Ledenev,Михаил,Michael,Николаевич,Nikolaevich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в республике никарагуа,Q811
115,844639,Q111033873,1959-02-06,Липаев,Lipaev,Владимир,Vladimir,Георгиевич,Georgievich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в румынии,Q218
116,837422,Q109486621,1957-10-23,Лобанов,Lobanov,Дмитрий,Dmitry,Дмитриевич,Dmitrievich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в великом герцогстве люксембург,Q32
117,1721865,Q15071283,1958-12-20,Лобач,Lobach,Дмитрий,Dmitry,Анатольевич,Anatolyevich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в республике намибии,Q1030
118,1721867,Q109495897,1958-03-21,Лопухов,Lopukhov,Андрей,Andrey,Георгиевич,Georgievich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в республике мальта,Q233
119,836348,Q23656173,1959-01-27,Лукашевич,Lukashevich,Александр,Alexander,Казимирович,Kazimirovich,постоянный представитель российской федерации,чрезвычайный и полномочный посол,Q137783787,"постоянное представительство российской федерации при уставных и других органах содружества независимых государств в минске, республика белоруссия",
120,842601,Q28836368,1959-07-02,Лукашик,Lukashik,Александр,Alexander,Петрович,Petrovich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в черногории,Q236
122,839295,Q21104570,1967-12-01,Любинский,Lyubinsky,Дмитрий,Dmitry,Евгеньевич,Evgenievich,заместитель министра иностранных дел российской федерации,чрезвычайный и полномочный посол,Q137783787,руководство,
123,843002,Q56308093,1961-01-27,Максимычев,Maksimychev,Дмитрий,Dmitry,Игоревич,Igorevich,,чрезвычайный и полномочный посол,Q137783787,,
124,1721876,Q4277568,1947-09-03,Малаян,Malayan,Эдуард,Edward,Рубенович,Rubenovich,ведущий эксперт,чрезвычайный и полномочный посол,Q137783787,генеральный секретариат (департамент),
125,1721878,Q4279408,1957-01-09,Мальгинов,Malginov,Олег,Oleg,Сергеевич,Sergeevich,,чрезвычайный и полномочный посол,Q137783787,,
126,1721879,Q18740960,1955-11-06,Мантыцкий,Mantytsky,Александр,Alexander,Викентьевич,Vikentyevich,,чрезвычайный и полномочный посол,Q137783787,,
127,841817,Q71164408,1969-07-11,Масленников,Maslennikov,Владислав,Vladislav,Владиславович,Vladislavovich,директор департамента,чрезвычайный и полномочный посол,Q137783787,департамент европейских проблем,
128,836311,Q18245833,1955-07-21,Маслов,Maslov,Андрей,Andrey,Михайлович,Mikhailovich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в греческой республике,Q41
129,843384,Q41199641,1953-09-12,Материй,Materials,Юрий,Yuri,Борисович,Borisovich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в республике кабо-верде,Q1011
130,845971,Q21106538,1955-11-21,Мацегора,Matsegora,Александр,Alexander,Иванович,Ivanovich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в корейской народно-демократической республике,Q423
131,846103,Q97459498,1968-12-12,Мелик-Багдасаров,Melik-Bagdasarov,Сергей,Sergey,Михайлович,Mikhailovich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в боливарианской республике венесуэла,Q717
